match_id,team,avg_passes_per_pos,pct_long_passes,padj_box_entries,pct_shots_set_piece,avg_def_height,ppda,pct_counterpress
3825793,Athletic Club,2.92,14.77,2.27,61.54,50.94,3.78,31.63
3825792,RC Deportivo La Coruña,3.61,15.62,5.21,64.29,57.7,2.34,40.0
3825792,Granada,2.09,20.27,3.56,50.0,42.79,3.91,22.07
3825794,Villarreal,3.1,13.28,3.04,22.22,56.78,3.06,30.19
3825794,Levante UD,2.89,14.54,3.39,62.5,60.21,2.98,30.16
3825788,Getafe,2.65,16.44,4.67,28.57,55.08,1.88,25.32
3825788,Celta Vigo,2.35,19.9,4.73,66.67,45.55,2.79,26.21
3825791,Real Betis,1.87,23.74,3.56,70.0,57.44,2.38,28.79
3825791,Rayo Vallecano,2.76,13.1,3.23,90.91,51.4,2.06,28.43
3825790,Sporting Gijón,2.85,13.23,3.41,85.71,50.55,3.1,33.51
3825790,Espanyol,2.41,18.03,3.51,41.67,49.35,3.4,32.18
3825787,Real Madrid,3.79,14.15,2.77,66.67,58.73,1.45,35.38
3825787,Atlético Madrid,1.76,16.76,3.91,90.0,49.83,3.12,25.61
3825789,Real Sociedad,2.74,18.65,6.15,100.0,60.21,1.93,27.1
3825789,Málaga,1.95,15.05,3.49,75.0,48.3,2.7,27.27
3825786,Eibar,2.45,19.71,5.87,70.0,59.71,2.38,30.74
3825786,Las Palmas,2.46,19.27,3.45,50.0,44.12,2.71,27.55
3825781,Rayo Vallecano,2.43,20.37,5.76,78.57,50.14,2.31,38.79
3825781,Sevilla,1.62,26.67,8.18,68.75,55.54,3.26,14.36
3825785,Málaga,1.82,24.71,5.59,54.55,54.09,3.36,28.21
3825785,Real Madrid,2.95,17.38,3.55,50.0,53.8,2.1,34.22
3825783,Athletic Club,2.68,20.12,5.66,70.0,55.7,1.94,35.41
3825783,Real Sociedad,1.79,21.14,2.57,55.56,47.57,3.83,23.71
3825780,Espanyol,2.02,18.92,5.68,43.75,54.31,3.05,26.24
3825780,RC Deportivo La Coruña,3.15,18.31,3.97,52.94,48.09,2.74,31.03
3825779,Celta Vigo,3.1,12.65,3.0,57.14,53.13,2.83,31.95
3825779,Eibar,1.88,19.17,1.39,57.14,56.12,3.32,25.99
3825773,Eibar,2.29,20.48,4.63,52.94,57.89,2.65,30.53
3825773,Levante UD,2.47,18.33,3.96,50.0,50.15,2.75,30.37
3825776,Sevilla,2.85,13.17,5.01,66.67,60.88,2.43,19.63
3825776,Las Palmas,2.66,15.67,2.79,54.55,45.06,4.19,31.09
3825775,Real Sociedad,2.06,20.67,4.33,66.67,49.88,2.72,26.81
3825775,Granada,2.19,19.65,2.38,78.57,53.11,2.51,30.35
3825769,Villarreal,2.65,16.7,2.95,50.0,57.26,2.5,32.29
3825769,Málaga,2.66,18.56,5.79,14.29,56.81,2.76,30.45
3825770,Real Madrid,4.15,10.91,2.42,21.05,49.46,2.77,24.38
3825770,Athletic Club,2.44,16.05,5.58,18.18,58.76,3.65,22.97
3825768,Sporting Gijón,1.92,20.33,3.79,27.27,54.7,3.11,23.17
3825768,Rayo Vallecano,3.03,13.36,3.17,75.0,56.05,2.27,25.98
3825736,Valencia,2.21,19.29,4.15,38.46,54.97,1.99,28.41
3825736,Rayo Vallecano,1.94,16.82,3.64,22.22,53.32,2.14,29.35
3825731,Las Palmas,3.33,13.82,2.22,40.0,50.56,2.4,31.9
3825731,Málaga,2.38,16.47,4.06,63.64,55.33,2.55,23.72
3825685,Sporting Gijón,1.97,26.18,5.68,50.0,56.1,3.1,17.27
3825685,Las Palmas,3.56,12.63,2.53,50.0,48.87,3.14,40.58
3825678,Eibar,1.93,21.64,4.98,75.0,62.83,2.78,27.5
3825678,Real Madrid,2.82,13.47,2.69,58.82,48.33,2.5,26.03
3825643,Real Madrid,3.65,10.5,4.11,52.94,60.45,3.25,29.9
3825643,Las Palmas,3.13,7.5,1.75,87.5,48.2,4.77,28.37
3825642,RC Deportivo La Coruña,3.18,22.03,1.92,42.86,51.2,3.77,26.75
3825642,Atlético Madrid,4.33,12.48,2.31,50.0,52.1,3.51,32.71
3825638,Atlético Madrid,2.51,12.66,3.53,56.25,63.72,2.71,35.05
3825638,Valencia,2.49,18.44,1.84,57.14,44.3,2.66,27.64
3825614,Granada,2.23,18.94,3.52,90.0,49.75,2.25,23.04
3825614,RC Deportivo La Coruña,2.03,18.49,3.41,57.14,51.83,2.9,25.94
3825612,Getafe,3.0,19.89,3.76,26.67,58.82,2.11,24.09
3825612,Levante UD,2.22,21.04,3.22,80.0,44.54,4.83,26.26
3825607,Villarreal,2.9,15.34,1.62,80.0,44.58,3.07,23.18
3825607,Atlético Madrid,3.11,14.26,4.47,40.0,63.19,2.7,28.69
3825595,Villarreal,2.29,15.74,3.63,50.0,57.69,2.87,22.27
3825595,Athletic Club,2.52,21.76,3.97,70.0,49.94,2.29,27.48
3825579,Sevilla,3.06,16.88,4.22,76.0,56.42,2.54,28.4
3825579,Atlético Madrid,1.9,17.51,2.37,17.65,42.75,4.7,30.5
3825572,Real Madrid,4.39,11.1,3.46,66.67,55.82,2.04,24.86
3825572,Real Betis,2.01,16.21,3.36,42.86,44.46,5.96,19.02
3825774,Getafe,3.82,12.46,1.74,83.33,51.96,2.08,26.5
3825774,Atlético Madrid,2.92,9.5,2.27,33.33,52.18,3.02,21.86
3825772,Valencia,2.67,15.7,3.23,72.22,50.84,2.0,24.73
3825772,Espanyol,1.87,23.36,5.92,55.0,50.47,3.16,18.39
3825771,RC Deportivo La Coruña,2.56,18.38,6.41,65.38,56.04,2.06,27.49
3825771,Real Betis,2.09,21.26,3.41,50.0,46.7,3.35,27.03
3825767,Espanyol,3.61,15.66,3.59,40.0,55.68,2.23,44.38
3825767,Real Sociedad,1.92,25.35,3.94,50.0,52.79,2.93,21.96
3825706,Celta Vigo,3.21,12.81,3.24,42.86,53.89,2.02,38.86
3825706,Athletic Club,1.72,20.51,5.7,46.15,53.84,2.39,27.12
3825712,Getafe,2.31,19.19,2.71,78.57,58.62,1.72,26.37
3825712,RC Deportivo La Coruña,2.21,21.18,5.18,40.0,48.86,2.36,21.9
3825708,Levante UD,1.95,20.25,4.05,42.86,53.79,2.45,26.17
3825708,Málaga,2.48,15.97,4.41,70.0,54.45,2.38,28.1
3825707,Las Palmas,3.28,14.39,3.86,71.43,52.05,3.84,34.88
3825707,Granada,1.86,21.05,4.09,50.0,50.42,2.98,14.51
3825705,Eibar,2.14,22.2,4.53,60.0,52.39,1.79,33.73
3825705,Sporting Gijón,1.79,24.93,4.99,83.33,52.54,3.0,26.32
3825711,Rayo Vallecano,2.4,22.78,4.03,80.0,53.17,2.26,35.75
3825711,Atlético Madrid,1.72,23.81,8.12,52.63,60.02,2.52,26.55
3825703,Athletic Club,2.58,16.84,5.75,63.16,60.21,1.78,28.12
3825703,Levante UD,2.17,20.94,1.88,83.33,49.86,2.4,30.86
3825700,Real Madrid,2.79,11.54,4.45,36.67,59.74,2.67,21.15
3825700,Rayo Vallecano,2.64,9.78,1.2,33.33,45.55,3.73,29.76
3825701,Málaga,3.24,18.02,3.99,52.94,61.85,2.1,39.05
3825701,Atlético Madrid,2.02,16.15,3.08,50.0,48.17,2.91,34.36
3825702,Real Sociedad,3.6,8.79,4.04,70.59,58.84,2.33,21.83
3825702,Villarreal,2.0,16.15,3.12,28.57,49.61,5.27,41.18
3825704,Granada,2.34,16.85,3.55,100.0,57.98,2.65,35.64
3825704,Celta Vigo,2.31,13.7,1.96,40.0,45.81,3.13,21.66
3825891,Espanyol,2.43,16.7,3.56,53.85,57.01,2.5,23.87
3825891,Las Palmas,2.71,17.86,1.85,88.89,55.28,2.67,38.16
3825699,Real Betis,1.9,17.78,3.79,53.85,58.26,2.06,25.76
3825699,Sevilla,2.19,20.45,5.24,77.78,45.61,2.43,31.58
3825697,Valencia,3.03,13.68,3.51,58.33,55.92,2.07,36.24
3825697,Getafe,1.89,18.41,1.92,66.67,49.72,3.02,22.51
3825698,RC Deportivo La Coruña,2.83,17.47,4.0,57.14,49.04,4.24,22.64
3825698,Eibar,2.82,19.79,5.0,84.62,54.95,2.27,27.11
3825694,Eibar,2.41,23.15,5.17,64.29,59.9,2.73,29.76
3825694,Valencia,2.24,19.38,2.63,83.33,46.24,2.67,35.04
3825693,Atlético Madrid,2.46,13.44,3.16,50.0,56.96,3.38,34.6
3825693,Athletic Club,2.83,16.34,3.69,60.0,50.36,2.67,34.26
3825696,Rayo Vallecano,1.93,25.48,4.76,53.85,45.95,2.71,23.08
3825696,Málaga,1.96,30.92,7.98,80.0,49.45,3.11,26.4
3825695,Villarreal,2.31,16.31,2.67,0.0,39.37,10.53,30.51
3825695,Real Madrid,3.98,17.55,6.28,40.0,61.35,1.74,26.38
3825689,Celta Vigo,2.66,16.95,2.58,46.67,50.22,2.87,19.73
3825689,Espanyol,2.33,18.63,4.25,83.33,57.45,2.22,33.33
3825690,Las Palmas,3.51,11.01,3.67,43.75,59.83,2.56,48.5
3825690,Real Betis,1.94,17.96,3.49,37.5,42.32,7.44,26.58
3825692,Sevilla,4.02,9.8,3.95,50.0,64.71,1.52,38.89
3825692,Sporting Gijón,1.57,27.5,3.21,50.0,42.86,5.44,21.23
3825691,Levante UD,2.17,18.56,7.21,57.14,54.56,2.38,39.34
3825691,Granada,2.12,18.09,2.77,25.0,55.77,2.35,38.39
3825688,Getafe,1.96,22.4,2.4,55.56,48.76,4.52,28.04
3825688,Real Sociedad,2.9,10.61,2.49,70.0,53.05,2.64,28.04
3825687,Espanyol,2.57,18.01,4.03,77.78,52.0,2.44,23.35
3825687,Levante UD,2.29,15.23,5.41,58.33,55.2,1.97,21.05
3825683,Real Sociedad,3.09,12.56,3.79,70.0,50.04,2.45,31.52
3825683,Eibar,1.74,25.68,3.93,50.0,56.85,2.67,22.8
3825686,Athletic Club,2.3,22.9,4.83,72.73,56.27,2.74,26.07
3825686,Málaga,2.88,15.75,3.89,42.86,54.23,2.76,28.25
3825684,Villarreal,1.96,18.45,3.99,57.14,52.57,2.21,25.27
3825684,Rayo Vallecano,2.42,19.75,2.73,62.5,56.85,2.16,30.96
3825681,Real Madrid,4.3,7.93,2.69,37.5,53.89,3.29,32.58
3825681,Getafe,2.46,14.51,1.59,28.57,49.96,4.41,22.22
3825682,Granada,2.72,17.84,3.11,61.11,51.28,3.67,27.85
3825682,Atlético Madrid,3.69,11.82,3.78,46.15,53.42,2.75,38.26
3825680,RC Deportivo La Coruña,1.84,25.19,3.05,75.0,50.81,3.05,24.35
3825680,Sevilla,2.79,14.63,4.88,55.56,53.42,2.84,31.89
3825677,Sevilla,3.2,10.67,5.42,56.25,66.97,2.16,32.07
3825677,Valencia,1.88,18.98,1.7,0.0,43.11,3.62,27.18
3825675,Rayo Vallecano,2.99,15.0,3.5,60.0,54.22,2.16,39.9
3825675,Athletic Club,1.64,26.56,6.56,30.0,54.18,2.66,21.32
3825676,Getafe,1.92,21.26,3.45,58.33,51.8,2.6,19.84
3825676,Villarreal,2.8,13.33,4.85,85.71,57.33,1.87,30.81
3825674,Atlético Madrid,2.66,9.49,4.15,47.62,61.16,3.2,43.02
3825674,Espanyol,2.3,15.06,2.09,50.0,48.59,2.0,22.11
3825673,Las Palmas,4.39,11.24,4.03,50.0,44.83,3.77,35.86
3825673,RC Deportivo La Coruña,1.96,23.03,5.34,60.0,52.42,4.62,24.14
