match_id,team,xg_for,xg_against
3825885,Rayo Vallecano,3.063,1.233
3825885,Getafe,1.233,3.063
3825881,Granada,0.404,0.661
3825881,Espanyol,0.661,0.404
3825880,RC Deportivo La Coruña,0.911,0.566
3825880,Levante UD,0.566,0.911
3825879,Las Palmas,1.447,1.005
3825879,Real Madrid,1.005,1.447
3825878,Atlético Madrid,0.744,0.787
3825878,Rayo Vallecano,0.787,0.744
3825877,Athletic Club,1.729,0.565
3825877,Granada,0.565,1.729
3825874,Sevilla,4.075,0.292
3825874,Getafe,0.292,4.075
3825873,Valencia,0.32,1.045
3825873,Villarreal,1.045,0.32
3825872,Atlético Madrid,4.037,0.797
3825872,Real Betis,0.797,4.037
3825870,Athletic Club,1.415,0.438
3825870,Celta Vigo,0.438,1.415
3825868,Celta Vigo,2.09,0.914
3825868,Granada,0.914,2.09
3825866,Las Palmas,0.187,0.382
3825866,Athletic Club,0.382,0.187
3825865,Getafe,1.402,0.612
3825865,Sporting Gijón,0.612,1.402
3825864,Real Sociedad,0.446,1.16
3825864,Real Madrid,1.16,0.446
3825862,Espanyol,0.902,0.357
3825862,Celta Vigo,0.357,0.902
3825861,Real Sociedad,1.338,1.294
3825861,Rayo Vallecano,1.294,1.338
3825859,Granada,1.398,1.308
3825859,Las Palmas,1.308,1.398
3825856,Real Madrid,2.474,1.315
3825856,Eibar,1.315,2.474
3825854,Sporting Gijón,0.346,0.701
3825854,Eibar,0.701,0.346
3825853,Sevilla,1.303,1.971
3825853,Granada,1.971,1.303
3825851,Villarreal,0.634,0.443
3825851,RC Deportivo La Coruña,0.443,0.634
3825850,Celta Vigo,1.568,0.824
3825850,Málaga,0.824,1.568
3825845,Espanyol,1.507,0.381
3825845,Sevilla,0.381,1.507
3825844,Athletic Club,2.147,0.747
3825844,Real Betis,0.747,2.147
3825806,Real Madrid,1.92,1.401
3825806,Celta Vigo,1.401,1.92
3825802,Espanyol,1.316,1.249
3825802,Real Betis,1.249,1.316
3825679,Real Betis,2.463,0.486
3825679,Celta Vigo,0.486,2.463
3825655,Rayo Vallecano,1.065,0.607
3825655,Granada,0.607,1.065
3825654,Celta Vigo,1.357,1.657
3825654,Valencia,1.657,1.357
3825653,Eibar,2.243,0.566
3825653,Getafe,0.566,2.243
3825651,Espanyol,1.973,0.75
3825651,Granada,0.75,1.973
3825650,Real Betis,1.304,3.135
3825650,Athletic Club,3.135,1.304
3825649,Sporting Gijón,1.156,0.686
3825649,Málaga,0.686,1.156
3825648,Eibar,1.423,0.434
3825648,Rayo Vallecano,0.434,1.423
3825765,Celta Vigo,1.602,0.828
3825765,Sevilla,0.828,1.602
3825766,Real Betis,1.032,1.021
3825766,Valencia,1.021,1.032
3825764,Granada,0.805,1.956
3825764,Real Madrid,1.956,0.805
3825760,Atlético Madrid,2.112,0.358
3825760,Eibar,0.358,2.112
3825763,Rayo Vallecano,2.549,0.446
3825763,Las Palmas,0.446,2.549
3825761,Athletic Club,0.691,0.303
3825761,Villarreal,0.303,0.691
3825762,Sporting Gijón,0.916,0.292
3825762,RC Deportivo La Coruña,0.292,0.916
3825759,Málaga,1.98,0.391
3825759,Getafe,0.391,1.98
3825758,RC Deportivo La Coruña,1.238,1.494
3825758,Rayo Vallecano,1.494,1.238
3825756,Sevilla,2.248,0.823
3825756,Levante UD,0.823,2.248
3825755,Valencia,2.907,1.494
3825755,Sporting Gijón,1.494,2.907
3825754,Las Palmas,1.695,0.564
3825754,Celta Vigo,0.564,1.695
3825750,Real Sociedad,0.535,1.151
3825750,Real Betis,1.151,0.535
3825752,Eibar,0.928,1.334
3825752,Málaga,1.334,0.928
3825751,Getafe,1.412,1.458
3825751,Athletic Club,1.458,1.412
3825753,Villarreal,2.224,0.681
3825753,Granada,0.681,2.224
3825749,Levante UD,1.69,1.068
3825749,Las Palmas,1.068,1.69
3825747,Athletic Club,0.93,2.022
3825747,Eibar,2.022,0.93
3825748,Atlético Madrid,1.261,0.311
3825748,Sevilla,0.311,1.261
3825745,RC Deportivo La Coruña,1.102,0.973
3825745,Valencia,0.973,1.102
3825746,Real Betis,0.38,3.31
3825746,Real Madrid,3.31,0.38
3825743,Rayo Vallecano,3.114,0.181
3825743,Celta Vigo,0.181,3.114
3825744,Espanyol,1.058,1.07
3825744,Villarreal,1.07,1.058
3825742,Granada,2.305,1.928
3825742,Getafe,1.928,2.305
3825741,Sporting Gijón,4.676,1.325
3825741,Real Sociedad,1.325,4.676
3825739,Real Madrid,2.221,0.657
3825739,Sporting Gijón,0.657,2.221
3825738,Las Palmas,0.502,1.987
3825738,Atlético Madrid,1.987,0.502
3825737,Getafe,1.87,1.337
3825737,Espanyol,1.337,1.87
3825734,Real Sociedad,2.924,1.424
3825734,RC Deportivo La Coruña,1.424,2.924
3825733,Sevilla,1.029,1.19
3825733,Málaga,1.19,1.029
3825732,Celta Vigo,2.093,1.142
3825732,Levante UD,1.142,2.093
3825735,Villarreal,0.794,0.559
3825735,Real Betis,0.559,0.794
3825729,Villarreal,1.262,0.703
3825729,Sporting Gijón,0.703,1.262
3825728,Celta Vigo,0.249,1.317
3825728,Atlético Madrid,1.317,0.249
3825730,Real Sociedad,2.941,0.675
3825730,Valencia,0.675,2.941
3825727,Eibar,2.399,0.376
3825727,Espanyol,0.376,2.399
3825723,Levante UD,0.797,0.327
3825723,Rayo Vallecano,0.327,0.797
3825726,Sevilla,1.247,0.892
3825726,Athletic Club,0.892,1.247
3825725,Getafe,0.736,0.668
3825725,Real Betis,0.668,0.736
3825724,Real Madrid,2.522,0.905
3825724,RC Deportivo La Coruña,0.905,2.522
3825722,Sporting Gijón,1.364,1.983
3825722,Getafe,1.983,1.364
3825716,Rayo Vallecano,1.003,0.845
3825716,Real Sociedad,0.845,1.003
3825719,Athletic Club,2.131,0.778
3825719,Las Palmas,0.778,2.131
3825720,Real Betis,1.614,0.949
3825720,Eibar,0.949,1.614
3825717,Granada,0.874,2.39
3825717,Sevilla,2.39,0.874
3825721,RC Deportivo La Coruña,0.974,1.321
3825721,Villarreal,1.321,0.974
3825718,Valencia,2.617,1.147
3825718,Real Madrid,1.147,2.617
3825715,Málaga,2.639,0.819
3825715,Celta Vigo,0.819,2.639
3825714,Atlético Madrid,1.172,0.583
3825714,Levante UD,0.583,1.172
3825713,Villarreal,0.349,0.533
3825713,Valencia,0.533,0.349
3825710,Real Madrid,3.167,0.658
3825710,Real Sociedad,0.658,3.167
3825709,Sevilla,2.312,0.891
3825709,Espanyol,0.891,2.312
3825646,Villarreal,1.212,0.672
3825646,Sevilla,0.672,1.212
3825645,Getafe,0.243,1.983
3825645,Barcelona,1.983,0.243
3825644,Real Sociedad,1.375,1.225
3825644,Celta Vigo,1.225,1.375
3825640,Levante UD,0.998,3.412
3825640,Real Sociedad,3.412,0.998
3825639,Las Palmas,0.299,0.318
3825639,Villarreal,0.318,0.299
3825636,Málaga,0.515,0.65
3825636,RC Deportivo La Coruña,0.65,0.515
3825635,Celta Vigo,1.599,2.095
3825635,Real Madrid,2.095,1.599
3825634,Granada,1.382,1.149
3825634,Real Betis,1.149,1.382
3825633,Rayo Vallecano,2.25,1.31
3825633,Espanyol,1.31,2.25
3825632,Sporting Gijón,0.893,1.982
3825632,Granada,1.982,0.893
3825631,Real Sociedad,0.64,1.576
3825631,Atlético Madrid,1.576,0.64
3825630,RC Deportivo La Coruña,1.321,0.607
3825630,Athletic Club,0.607,1.321
3825629,Villarreal,0.955,1.587
3825629,Celta Vigo,1.587,0.955
3825627,Barcelona,4.676,2.473
3825627,Rayo Vallecano,2.473,4.676
3825625,Real Madrid,1.453,1.496
3825625,Levante UD,1.496,1.453
3825624,Eibar,0.723,1.787
3825624,Sevilla,1.787,0.723
3825622,Athletic Club,1.989,0.579
3825622,Valencia,0.579,1.989
3825621,Atlético Madrid,2.866,0.493
3825621,Real Madrid,0.493,2.866
3825620,Rayo Vallecano,0.975,1.98
3825620,Real Betis,1.98,0.975
3825617,Sevilla,1.301,3.406
3825617,Barcelona,3.406,1.301
3825615,Espanyol,1.596,1.48
3825615,Sporting Gijón,1.48,1.596
3825613,Celta Vigo,1.473,1.518
3825613,Getafe,1.518,1.473
